<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GDAX.BTC-USD;D;20210118;000000;36624.2300000
GDAX.BTC-USD;D;20210119;000000;35917.2800000
GDAX.BTC-USD;D;20210120;000000;35503.0900000
GDAX.BTC-USD;D;20210121;000000;30855.9500000
GDAX.BTC-USD;D;20210122;000000;32984.9300000
GDAX.BTC-USD;D;20210123;000000;32112.0100000
GDAX.BTC-USD;D;20210124;000000;32288.5600000
GDAX.BTC-USD;D;20210125;000000;32261.8700000
GDAX.BTC-USD;D;20210126;000000;32510.8200000
GDAX.BTC-USD;D;20210127;000000;30407.1300000
GDAX.BTC-USD;D;20210128;000000;33488.9900000
GDAX.BTC-USD;D;20210129;000000;34262.1100000
GDAX.BTC-USD;D;20210130;000000;34315.6300000
GDAX.BTC-USD;D;20210131;000000;33137.7400000
GDAX.BTC-USD;D;20210201;000000;33533.1900000
GDAX.BTC-USD;D;20210202;000000;35512.6700000
GDAX.BTC-USD;D;20210203;000000;37678.3700000
GDAX.BTC-USD;D;20210204;000000;36975.0000000
GDAX.BTC-USD;D;20210205;000000;38311.4900000
GDAX.BTC-USD;D;20210206;000000;39265.4300000
GDAX.BTC-USD;D;20210207;000000;38871.4200000
GDAX.BTC-USD;D;20210208;000000;46448.1000000
GDAX.BTC-USD;D;20210209;000000;46514.7300000
GDAX.BTC-USD;D;20210210;000000;44850.0000000
GDAX.BTC-USD;D;20210211;000000;47997.9100000
GDAX.BTC-USD;D;20210212;000000;47408.3400000
GDAX.BTC-USD;D;20210213;000000;47232.4500000
GDAX.BTC-USD;D;20210214;000000;48680.6900000
GDAX.BTC-USD;D;20210215;000000;47936.3700000
GDAX.BTC-USD;D;20210216;000000;49158.7100000
GDAX.BTC-USD;D;20210217;000000;52170.0100000
GDAX.BTC-USD;D;20210218;000000;51601.7300000
GDAX.BTC-USD;D;20210219;000000;55983.5600000
GDAX.BTC-USD;D;20210220;000000;55923.5200000
GDAX.BTC-USD;D;20210221;000000;57489.1600000
GDAX.BTC-USD;D;20210222;000000;54142.1300000
GDAX.BTC-USD;D;20210223;000000;48899.9900000
GDAX.BTC-USD;D;20210224;000000;49737.8200000
GDAX.BTC-USD;D;20210225;000000;47058.4800000
GDAX.BTC-USD;D;20210226;000000;46326.2000000
GDAX.BTC-USD;D;20210227;000000;46180.7500000
GDAX.BTC-USD;D;20210228;000000;45231.7500000
GDAX.BTC-USD;D;20210301;000000;49639.4000000
GDAX.BTC-USD;D;20210302;000000;48511.6000000
GDAX.BTC-USD;D;20210303;000000;50360.0000000
GDAX.BTC-USD;D;20210304;000000;48368.5200000
GDAX.BTC-USD;D;20210305;000000;48769.4700000
GDAX.BTC-USD;D;20210306;000000;48909.8400000
GDAX.BTC-USD;D;20210307;000000;50978.6100000
